"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Path to Mnemosyne","0","0","5","0","0.35","0.35","0.07","0.05","28.6","0.06","0.03","66","0.18","2022-04-08","770410"
"CHRONO CROSS: THE RADICAL DREAMERS EDITION","0","0","6","0","0.52","0.52","0.09","0.21","-133.3","0.10","0.11","105","0.23","2022-04-08","1133760"
"Dialtown: Phone Dating Sim","0","0","13","0","1.10","1.10","0.08","0.11","-37.5","0.00","0.86","54","0.49","2022-04-07","1035990"
"Redactem","0","0","5","0","0.33","0.33","0.07","0.04","42.9","0.03","0.03","177","0.18","2022-04-05","502400"
"When I Was Young","0","0","5","0","0.45","0.45","0.09","3.89","-4,222.2","5.21","417.56","26","0.23","2022-04-05","1059230"
"Heads Will Roll","0","0","5","0","0.34","0.34","0.07","N/A","0.0","0.99","0.08","47","0.18","2022-04-05","1525420"
"Elemental World Part 1:Rise Of The Guardians","0","0","5","0","16.64","16.64","3.33","N/A","0.0","4.90","0.00","6","8.69","2022-04-04","340140"
"Smart Factory Tycoon","0","0","13","0","0.81","0.81","0.06","0.16","-166.7","0.34","0.91","33","0.37","2022-04-03","1755300"
"The Serpent Rogue","0","0","10","0","0.80","0.80","0.08","0.27","-237.5","0.12","0.00","39","0.35","2022-04-03","1453790"
"PumPum","0","0","13","0","1.11","1.11","0.09","0.08","11.1","0.07","1.24","70","0.55","2022-04-01","1595290"
"Cosmonious High","0","0","15","0","1.16","1.16","0.08","N/A","0.0","3.27","0.82","44","0.56","2022-04-01","1491490"
"First Class Escape 2: Head in the Clouds","0","0","5","0","0.56","0.56","0.11","0.07","36.4","0.51","0.26","18","0.29","2022-03-31","1826570"
"Will You Snail?","0","0","5","0","0.42","0.42","0.08","0.27","-237.5","27.98","1.46","80","0.21","2022-03-26","1115050"
"Poop Clicker","0","0","5","0","0.31","0.31","0.06","0.03","50.0","0.10","0.03","71","0.16","2022-03-26","351160"
"A Memoir Blue","0","0","5","0","1.38","1.38","0.28","0.36","-28.6","0.11","0.34","19","0.73","2022-03-25","1497450"
"Wanted Raccoon","0","0","8","0","97.29","97.29","12.16","N/A","0.0","2.54","0.23","17","42.30","2022-03-25","1320100"
